,Interested_in,City,Disposition,Referer,Campaign,Disp
8958,,Surat,Not Contactable-Not reachable / Switched Off ,Current Account,Current_Account_Lookalike,NC
8959,,Pune,Not Contactable-Ringing No Response,Savings Account customizable,mailer_Adsplay_6percent_SA-affiliate,NC
8960,",Current Account",Ambur,Customer Disconnected,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,Customer Disconnected
8961,",Current Account",Hyderabad,Not Contactable-Ringing No Response,Savings Account-70 percent,Search_PAN_India_Competition_Yes_Insta_Mobile_Exact_New_LP-google,NC
8962,",Loans,Trading Account",New Delhi,Not Contactable-Not reachable / Switched Off ,Savings Account-70 percent,mailer_publishername_70percent_SA-affiliate,NC
8963,,New Delhi,Not Contactable-Busy,Savings Account customizable,mailer_Adsplay_6percent_SA-affiliate,NC
8964,",Trading Account",Mumbai,OCM Disposition- Not contactable,Savings Account customizable,PB_6pecent-aPB2,NC
8965,",Credit Card",Jaipur,Customer Disconnected,Savings Account-6 percent,Yes_Bank_WC_Savings_Account-facebook,Customer Disconnected
8966,,Chandigarh,Not Contactable-Ringing No Response,Savings Account customizable,PB_6pecent-aPB2,NC
8967,,Guntur,Not Contactable-Ringing No Response,Current Account,Current_Account_B2B,NC
8968,",Credit Card",Mumbai,OCM Disposition- Not contactable,Savings Account customizable,mailer_netcore_6percent_SA_1999-affiliate,NC
8969,",Current Account",Bijapur,Not Contactable-Language Barrier,Savings Account customizable,PB_6pecent-aPB2,NC
8970,",Credit Card",New Delhi,OCM Disposition- Not contactable,Savings Account-70 percent,mailer_publishername_70percent_SA-affiliate,NC
8971,",Loans",New Delhi,Not Contactable-Ringing No Response,Savings Account customizable,mailer_Adsplay_6percent_SA-affiliate,NC
8972,Saving Account,Bangalore,Not Contactable-Number temporary Not in Service ,Savings Account customizable,mailer_Adsplay_6percent_SA-affiliate,NC
8973,",Loans",Tirupati,Not Contactable-Language Barrier,Savings Account customizable,PB_6pecent-aPB2,NC
8974,,Bangalore,Not Contactable-Language Barrier,Savings Account customizable,PB_6pecent-aPB2,NC
8975,"Business Loan, Business Credit Cards, Savings Account ,",Anand,Not Contactable-Ringing No Response,Current Account,Current_Account_Lookalike,NC
8976,",Loans",New Delhi,Not Contactable-Ringing No Response,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
8977,",Current Account",Patna,Customer Disconnected,Savings Account-6 percent,Search_PAN_India_Competition_Yes_Insta_Mobile_Exact_New_LP-google,Customer Disconnected
8978,"Savings Account ,",Chennai,Not Contactable-Language Barrier,Current Account,Current_Account_B2B,NC
8979,Saving Account,Nagpur,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
8980,",Current Account",Ambala,Customer Disconnected,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,Customer Disconnected
8981,",Trading Account",Ghaziabad,Not Contactable-Number temporary Not in Service ,Savings Account customizable,Search_PAN_India_Competition_Yes_Insta_Mobile_Exact_New_LP-google,NC
8982,,Pune,Not Contactable-Busy,Savings Account customizable,mailer_Adsplay_6percent_SA-affiliate,NC
8983,,Bangalore,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,PB_6pecent-aPB2,NC
8984,",Trading Account",Bangalore,Not Contactable-Wrong Number / Number does not exist,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
8985,",Current Account",Alwar,Not Contactable-Ringing No Response,Savings Account customizable,PB_6pecent-aPB2,NC
8986,",Credit Card",Ghaziabad,Customer Disconnected,Savings Account customizable,PB_6pecent-aPB2,Customer Disconnected
8987,",Loans",Alwar,Not Contactable-Ringing No Response,Savings Account customizable,mailer_publishername_6percent_SA-affiliate,NC
8988,",Current Account",Raichur,Not Contactable-Language Barrier,Savings Account-70 percent,mailer_publishername_70percent_SA-affiliate,NC
8989,,Pune,Customer Disconnected,Savings Account customizable,PB_6pecent-aPB2,Customer Disconnected
8990,Saving Account,Bangalore,Not Contactable-Ringing No Response,Savings Account customizable,PB_6pecent-aPB2,NC
8991,",Current Account",Bareilly,Customer Disconnected,Savings Account customizable,PB_6pecent-aPB2,Customer Disconnected
8992,"Business Loan, Business Credit Cards,",Tiruchirappalli,Not Contactable-Not reachable / Switched Off ,Current Account,YES_Bank_Current_Account_Core_BMM_Desktop,NC
8993,"Business Credit Cards,",Madurai,Not Contactable-Ringing No Response,Current Account,Current_Account_B2B,NC
8994,,Panvel,Not Contactable-Ringing No Response,Current Account,Current_Account_B2B,NC
8995,",Credit Card,Loans",Hyderabad,Customer Disconnected,Savings Account customizable,PB_6pecent-aPB2,Customer Disconnected
8996,",Current Account",Jaipur,OCM Disposition- Not contactable,Savings Account customizable,PB_6pecent-aPB2,NC
8997,",Loans",Rudrapur,Customer Disconnected,Savings Account customizable,PB_6pecent-aPB2,Customer Disconnected
8998,Saving Account,Hyderabad,Not Contactable-Number temporary Not in Service ,Savings Account customizable,mailer_Adsplay_6percent_SA-affiliate,NC
8999,,Bangalore,Not Contactable-Busy,Savings Account customizable,PB_6pecent-aPB2,NC
9000,",Trading Account",Bangalore,Not Contactable-Ringing No Response,Savings Account customizable,PB_6pecent-aPB2,NC
9001,",Credit Card",Ludhiana,Not Contactable-Ringing No Response,Savings Account customizable,PB_6pecent-aPB2,NC
9002,",Current Account",Jaipur,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,PB_6pecent-aPB2,NC
9003,",Current Account",Allahabad,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
9004,",Credit Card",Kolkata,Not Contactable-Busy,Savings Account-70 percent,Search_PAN_India_Core_Yes_Insta_Mobile_BMM_New_LP-google,NC
9005,",Credit Card,Loans,Trading Account",Mysore,Not Contactable-Language Barrier,Savings Account customizable,PB_6pecent-aPB2,NC
9006,",Credit Card",Noida,Customer Disconnected,Savings Account customizable,PB_6pecent-aPB2,Customer Disconnected
9007,Saving Account,Jaipur,Customer Disconnected,Savings Account customizable,PB_6pecent-aPB2,Customer Disconnected
9008,",Loans",East Delhi,Not Contactable-Busy,Savings Account customizable,PB_6pecent-aPB2,NC
9009,"Savings Account ,",Madurai,Not Contactable-Ringing No Response,Current Account,Current_Account_B2B,NC
9010,",Loans",East Delhi,Not Contactable-Ringing No Response,Savings Account customizable,PB_6pecent-aPB2,NC
9011,,New Delhi,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
9012,",Trading Account",Ghaziabad,Customer Disconnected,Savings Account customizable,mailer_publishername_6percent_SA-affiliate,Customer Disconnected
9013,",Current Account",Mohali,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,PB_6pecent-aPB2,NC
9014,",Current Account",Kolkata,Customer Disconnected,Savings Account customizable,PB_6pecent-aPB2,Customer Disconnected
9015,",Credit Card",Sonepat,Not Contactable-Ringing No Response,Savings Account customizable,PB_6pecent-aPB2,NC
9016,",Current Account",Bhubhaneshwar,Not Contactable-Ringing No Response,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
9017,",Loans",Jaipur,Not Contactable-Ringing No Response,Savings Account customizable,PB_6pecent-aPB2,NC
9018,",Credit Card",Mumbai,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,PB_6pecent-aPB2,NC
9019,",Credit Card",Mumbai,Not Contactable-Number temporary Not in Service ,Savings Account customizable,PB_6pecent-aPB2,NC
9020,",Credit Card,Loans,Current Account,Trading Account",Mumbai,Not Contactable-Ringing No Response,Savings Account customizable,PB_6pecent-aPB2,NC
9021,",Trading Account",Agra,Customer Disconnected,Savings Account customizable,PB_6pecent-aPB2,Customer Disconnected
9022,Saving Account,Hyderabad,Not Contactable-Busy,Savings Account customizable,PB_6pecent-aPB2,NC
9023,Saving Account,Tiruppur,Not Contactable-Ringing No Response,Savings Account customizable,PB_6pecent-aPB2,NC
9024,",Loans",Jalor,Customer Disconnected,Savings Account customizable,PB_6pecent-aPB2,Customer Disconnected
9025,Saving Account,Pune,Customer Disconnected,Savings Account customizable,PB_6pecent-aPB2,Customer Disconnected
9026,,New Delhi,CDR disposition-Not Contactable-Ringing No Response,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
9027,",Loans",Chittoor,Customer Disconnected,Savings Account customizable,PB_6pecent-aPB2,Customer Disconnected
9028,",Loans,Trading Account",Dibrugarh,Customer Disconnected,Savings Account customizable,PB_6pecent-aPB2,Customer Disconnected
9029,",Credit Card",Agra,Not Contactable-Ringing No Response,Savings Account customizable,PB_6pecent-aPB2,NC
9030,Saving Account,Gurgaon,Not Contactable-Busy,Savings Account customizable,PB_6pecent-aPB2,NC
9031,,Puducherry,Customer Disconnected,Savings Account customizable,mailer_trackbackmedia_6percent_SA-affiliate,Customer Disconnected
9032,",Current Account",Mumbai Suburban,Not Contactable-Number temporary Not in Service ,Savings Account customizable,PB_6pecent-aPB2,NC
9033,"Business Loan, Business Credit Cards,",Bijapur,Not Contactable-Busy,Current Account,Current_Account_B2B,NC
9034,",Loans",Karur,Not Contactable-Busy,Savings Account customizable,mailer_trackbackmedia_6percent_SA-affiliate,NC
9035,"Savings Account ,",Bangalore,Customer Disconnected,Current Account,Current_Account_B2B,Customer Disconnected
9036,",Credit Card,Loans,Current Account,Trading Account",Kaithal,Not Contactable-Language Barrier,Savings Account customizable,PB_6pecent-aPB2,NC
9037,",Credit Card,Loans,Current Account,Trading Account",Bangalore,Not Contactable-Ringing No Response,Savings Account customizable,PB_6pecent-aPB2,NC
9038,",Credit Card,Trading Account",Allahabad,Customer Disconnected,Savings Account customizable,PB_6pecent-aPB2,Customer Disconnected
9039,",Current Account",New Delhi,Not Contactable-Busy,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
9040,",Credit Card,Loans,Current Account,Trading Account",Surat,Not Contactable-Busy,Savings Account customizable,PB_6pecent-aPB2,NC
9041,,Faridabad,Not Contactable-Ringing No Response,Savings Account customizable,PB_6pecent-aPB2,NC
9042,",Loans",Vijayawada,Not Contactable-Language Barrier,Savings Account customizable,PB_6pecent-aPB2,NC
9043,",Trading Account",Hyderabad,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
9044,",Credit Card",Hyderabad,Not Contactable-Ringing No Response,Savings Account customizable,PB_6pecent-aPB2,NC
9045,,Mysore,Not Contactable-Language Barrier,Savings Account customizable,PB_6pecent-aPB2,NC
9046,,Ranchi,Not Contactable-Ringing No Response,Current Account,Current_Account_B2B,NC
9047,",Credit Card",Bijnor,Not Contactable-Busy,Savings Account-70 percent,mailer_publishername_70percent_SA-affiliate,NC
9048,",Current Account",Surat,Customer Disconnected,Savings Account customizable,PB_6pecent-aPB2,Customer Disconnected
9049,",Credit Card",Jaipur,Not Contactable-Ringing No Response,Savings Account customizable,mailer_publishername_6percent_SA-affiliate,NC
9050,",Credit Card",Mumbai,Not Contactable-Ringing No Response,Savings Account customizable,mailer_Luvia_6percent_SA_Pub11-affiliate,NC
9051,",Credit Card,Current Account",Mumbai,Not Contactable-Not reachable / Switched Off ,Savings Account-fixed deposit,Search_PAN_India_Brand_Yes_Insta_Mobile_Exact_New_LP-google,NC
9052,",Loans",North Goa,Not Contactable-Ringing No Response,Savings Account customizable,PB_6pecent-aPB2,NC
9053,",Credit Card",Tiruchirappalli,Not Contactable-Busy,Savings Account customizable,PB_6pecent-aPB2,NC
9054,",Current Account",Bengaluru Rural,Not Contactable-Ringing No Response,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
9055,Saving Account,Pune,Not Contactable-Ringing No Response,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
9056,",Credit Card",Tuticorin,Not Contactable-Number temporary Not in Service ,Savings Account customizable,PB_6pecent-aPB2,NC
9057,",Trading Account",New Delhi,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_trackbackmedia_6percent_SA-affiliate,NC
9058,",Trading Account",Pune,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
9059,"Business Loan,",Chennai,Not Contactable-Ringing No Response,Current Account,Current_Account_B2B,NC
9060,",Current Account",Kanchipuram,Not Contactable-Language Barrier,Savings Account customizable,mailer_trackbackmedia_6percent_SA-affiliate,NC
9061,",Credit Card",Bangalore,CDR disposition-Not Contactable-Ringing No Response,Savings Account customizable,PB_6pecent-aPB2,NC
9062,",Credit Card,Trading Account",Jaipur,CDR disposition-Not Contactable-Ringing No Response,Savings Account customizable,PB_6pecent-aPB2,NC
9063,",Loans",New Delhi,Not Contactable-Busy,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
9064,",Credit Card,Loans,Current Account,Trading Account",Barddhaman,CDR disposition-Not Contactable-Ringing No Response,Savings Account customizable,PB_6pecent-aPB2,NC
9065,",Trading Account",Faridabad,CDR disposition-Not Contactable-Ringing No Response,Savings Account customizable,PB_6pecent-aPB2,NC
9066,",Credit Card",Jaipur,Not Contactable-Ringing No Response,Savings Account customizable,PB_6pecent-aPB2,NC
9067,"Savings Account ,",Salem,Not Contactable-Ringing No Response,Current Account,Current_Account_B2B,NC
9068,",Credit Card",Agra,Customer Disconnected,Savings Account-6 percent,Search_PAN_India_Competition_Yes_Insta_Mobile_Exact_New_LP-google,Customer Disconnected
9069,",Trading Account",Hyderabad,Not Contactable-Ringing No Response,Savings Account customizable,mailer_Adsplay_6percent_SA-affiliate,NC
9070,,New Delhi,Not Contactable-Ringing No Response,Savings Account customizable,mailer_Adsplay_6percent_SA-affiliate,NC
9071,",Current Account",New Delhi,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
9072,",Credit Card",Pune,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
9073,",Current Account",Sikar,Not Contactable-Ringing No Response,Savings Account customizable,Search_PAN_India_Competition_Yes_Insta_Mobile_Exact_New_LP-google,NC
9074,Saving Account,Pune,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_Adsplay_6percent_SA-affiliate,NC
9075,",Loans",Agra,Not Contactable-Ringing No Response,Savings Account-70 percent,mailer_publishername_70percent_SA-affiliate,NC
9076,"POS Machine, Business Loan, Business Credit Cards,",North Goa,Not Contactable-Ringing No Response,Current Account,Current_Account_Lookalike,NC
9077,",Current Account",New Delhi,Not Contactable-Busy,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
9078,",Trading Account",New Delhi,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
9079,"POS Machine, Business Loan, Business Credit Cards, Savings Account ,",Nagpur,Not Contactable-Not reachable / Switched Off ,Current Account,YES_Bank_Current_Account_Core_BMM_Desktop,NC
9080,",Current Account",Lucknow,Not Contactable-Ringing No Response,Savings Account customizable,Search_PAN_India_Competition_Yes_Insta_Mobile_Exact_New_LP-google,NC
9081,",Current Account",New Delhi,Not Contactable-Not reachable / Switched Off ,Savings Account-70 percent,mailer_publishername_70percent_SA-affiliate,NC
9082,",Credit Card",Surat,Not Contactable-Ringing No Response,Savings Account customizable,mailer_trackbackmedia_6percent_SA-affiliate,NC
9083,",Trading Account",New Delhi,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_trackbackmedia_6percent_SA-affiliate,NC
9084,"POS Machine, Business Loan,",Bhopal,Not Contactable-Ringing No Response,Current Account,Current_Account_B2B,NC
9085,"Business Credit Cards,",Bangalore,Not Contactable-Busy,Current Account,Current_Account_B2B,NC
9086,",Trading Account",New Delhi,Customer Disconnected,Savings Account-70 percent,mailer_publishername_70percent_SA-affiliate,Customer Disconnected
9087,"Savings Account ,",Guwahati,Not Contactable-Busy,Current Account,Current_Account_B2B,NC
9088,",Loans",New Delhi,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_Adsplay_6percent_SA-affiliate,NC
9089,Saving Account,Hyderabad,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
9090,Saving Account,Chandigarh,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
9091,",Trading Account",New Delhi,Not Contactable-Busy,Savings Account-70 percent,mailer_publishername_70percent_SA-affiliate,NC
9092,",Trading Account",Bangalore,Not Contactable-Busy,Savings Account-70 percent,mailer_publishername_70percent_SA-affiliate,NC
9093,,Ranchi,OCM Disposition- Not contactable,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
9094,",Credit Card,Loans,Current Account,Trading Account",Surat,Customer Disconnected,Savings Account customizable,mailer_trackbackmedia_6percent_SA-affiliate,Customer Disconnected
9095,",Trading Account",Ghaziabad,Not Contactable-Busy,Savings Account customizable,mailer_trackbackmedia_6percent_SA-affiliate,NC
9096,",Credit Card,Current Account",Malerkotla,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_Adsplay_6percent_SA-affiliate,NC
9097,,Mumbai,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_Adsplay_6percent_SA-affiliate,NC
9098,",Credit Card",East Delhi,Not Contactable-Not reachable / Switched Off ,Savings Account-70 percent,mailer_publishername_70percent_SA-affiliate,NC
9099,",Credit Card",Tiruppur,Customer Disconnected,Savings Account-70 percent,Search_PAN_India_Competition_Yes_Insta_Mobile_Exact_New_LP-google,Customer Disconnected
9100,",Current Account",New Delhi,Not Contactable-Busy,Savings Account customizable,mailer_trackbackmedia_6percent_SA-affiliate,NC
9101,",Current Account",New Delhi,Not Contactable-Number temporary Not in Service ,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
9102,,Panvel,Customer Disconnected,Savings Account customizable,PB_7.5percent_FD-aPB,Customer Disconnected
9103,",Trading Account",New Delhi,Customer Disconnected,Savings Account customizable,mailer_publishername_6percent_SA-affiliate,Customer Disconnected
9104,",Current Account",New Delhi,Not Contactable-Busy,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
9105,,Mumbai,Not Contactable-Not reachable / Switched Off ,Current Account,YES_Bank_Current_Account_Core_Exact_Mobile,NC
9106,",Trading Account",Indore,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_publishername_6percent_SA-affiliate,NC
9107,",Credit Card",New Delhi,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
9108,Saving Account,Vizag,Customer Disconnected,Savings Account customizable,Search_PAN_India_Competition_Yes_Insta_Mobile_Exact_New_LP-google,Customer Disconnected
9109,",Current Account",Allahabad,Customer Disconnected,Savings Account customizable,Search_PAN_India_Competition_Yes_Insta_Mobile_Exact_New_LP-google,Customer Disconnected
9110,"Business Loan, Savings Account ,",Aurangabad,Not Contactable-Busy,Current Account,Current_Account_B2B,NC
9111,"Business Loan, Business Credit Cards, Savings Account ,",Raipur,Customer Disconnected,Current Account,Current_Account_B2B,Customer Disconnected
9112,Saving Account,Coimbatore,Customer Disconnected,Savings Account-70 percent,mailer_publishername_70percent_SA-affiliate,Customer Disconnected
9113,",Credit Card,Current Account",Patna,Not Contactable-Ringing No Response,Current Account,Current_Account_B2B,NC
9114,Saving Account,Gurgaon,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
9115,",Trading Account",New Delhi,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_netcore_6percent_SA_1999-affiliate,NC
9116,",Credit Card,Loans,Current Account,Trading Account",Bengaluru Rural,Not Contactable-Language Barrier,Savings Account-70 percent,mailer_publishername_70percent_SA-affiliate,NC
9117,,New Delhi,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
9118,",Trading Account",Hyderabad,Not Contactable-Busy,Savings Account-70 percent,mailer_publishername_70percent_SA-affiliate,NC
9119,",Loans",Bhubhaneshwar,Customer Disconnected,Savings Account customizable,mailer_publishername_6percent_SA-affiliate,Customer Disconnected
9120,",Loans",Moradabad,Customer Disconnected,Savings Account-70 percent,mailer_publishername_70percent_SA-affiliate,Customer Disconnected
9121,Saving Account,Mumbai,Customer Disconnected,Savings Account customizable,mailer_Adsplay_6percent_SA-affiliate,Customer Disconnected
9122,,Nellore,Not Contactable-Busy,Current Account,Current_Account_B2B,NC
9123,"Savings Account ,",New Delhi,Customer Disconnected,Current Account,YES_Bank_Current_Account_Core_BMM_Mobile,Customer Disconnected
9124,,Pune,Not Contactable-Not reachable / Switched Off ,Current Account,YES_Bank_Current_Account_Core_BMM_Mobile,NC
9125,",Trading Account",New Delhi,Not Contactable-Not reachable / Switched Off ,Savings Account-70 percent,mailer_publishername_70percent_SA-affiliate,NC
9126,",Credit Card,Current Account",Haveri,Customer Disconnected,Savings Account customizable,Search_PAN_India_Competition_Yes_Insta_Mobile_Exact_New_LP-google,Customer Disconnected
9127,Saving Account,Nagpur,Not Contactable-Busy,Savings Account customizable,mailer_Adsplay_6percent_SA-affiliate,NC
9128,"Business Credit Cards,",Chennai,Customer Disconnected,Current Account,Current_Account_B2B,Customer Disconnected
9129,,Mumbai,Not Contactable-Busy,Savings Account customizable,mailer_Adsplay_6percent_SA-affiliate,NC
9130,"Business Loan, Business Credit Cards,",Aurangabad,Not Contactable-Not reachable / Switched Off ,Current Account,Current_Account_B2B,NC
9131,,Bilaspur,Customer Disconnected,Savings Account customizable,mailer_publishername_6percent_SA-affiliate,Customer Disconnected
9132,Saving Account,Mumbai,Not Contactable-Ringing No Response,Savings Account customizable,mailer_Adsplay_6percent_SA-affiliate,NC
9133,,New Delhi,Not Contactable-Ringing No Response,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
9134,,Noida,Not Contactable-Ringing No Response,Savings Account-70 percent,mailer_publishername_70percent_SA-affiliate,NC
9135,,Agra,Customer Disconnected,Savings Account customizable,mailer_trackbackmedia_6percent_SA-affiliate,Customer Disconnected
9136,",Trading Account",New Delhi,Not Contactable-Not reachable / Switched Off ,Savings Account-70 percent,mailer_publishername_70percent_SA-affiliate,NC
9137,",Current Account",New Delhi,Not Contactable-Wrong Number / Number does not exist,Savings Account customizable,mailer_publishername_6percent_SA-affiliate,NC
9138,Saving Account,Chandigarh,Not Contactable-Busy,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
9139,",Trading Account",New Delhi,Not Contactable-Not reachable / Switched Off ,Savings Account-70 percent,mailer_publishername_70percent_SA-affiliate,NC
9140,",Loans",New Delhi,Not Contactable-Number temporary Not in Service ,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
9141,Saving Account,Chandigarh,Not Contactable-Ringing No Response,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
9142,",Current Account",Birbhum,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_publishername_6percent_SA-affiliate,NC
9143,",Trading Account",New Delhi,Not Contactable-Number temporary Not in Service ,Savings Account customizable,mailer_Adsplay_6percent_SA-affiliate,NC
9144,",Trading Account",New Delhi,Not Contactable-Busy,Savings Account customizable,mailer_trackbackmedia_6percent_SA-affiliate,NC
9145,"Savings Account ,",Bhubhaneshwar,Customer Disconnected,Current Account,Current_Account_B2B,Customer Disconnected
9146,,Mumbai,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
9147,",Trading Account",Mumbai,Not Contactable-Ringing No Response,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
9148,",Loans",New Delhi,Not Contactable-Ringing No Response,Savings Account customizable,mailer_Adsplay_6percent_SA-affiliate,NC
9149,",Current Account",Pune,Not Contactable-Ringing No Response,Savings Account-70 percent,mailer_publishername_70percent_SA-affiliate,NC
9150,",Current Account",Junagadh,Customer Disconnected,Savings Account customizable,mailer_trackbackmedia_6percent_SA-affiliate,Customer Disconnected
9151,,New Delhi,Not Contactable-Busy,Current Account,YES_Bank_Current_Account_Core_BMM_Mobile,NC
9152,",Trading Account",Vijayawada,Not Contactable-Language Barrier,Savings Account customizable,mailer_trackbackmedia_6percent_SA-affiliate,NC
9153,,Bangalore,CDR disposition-Not Contactable-Ringing No Response,Savings Account customizable,mailer_trackbackmedia_6percent_SA-affiliate,NC
9154,",Credit Card,Trading Account",Surat,CDR disposition-Not Contactable-Ringing No Response,Savings Account-6 percent,Search_PAN_India_Competition_Yes_Insta_Mobile_Exact_New_LP-google,NC
9155,",Current Account",Mumbai,CDR disposition-Not Contactable-Ringing No Response,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
9156,,Kharagpur,Not Contactable-Ringing No Response,Savings Account customizable,Search_PAN_India_Competition_Yes_Insta_Mobile_Exact_New_LP-google,NC
9157,",Credit Card",Bhubhaneshwar,Customer Disconnected,Savings Account customizable,mailer_publishername_6percent_SA-affiliate,Customer Disconnected
9158,,Bagalkote,Not Contactable-Language Barrier,Savings Account-6 percent,Search_PAN_India_Competition_Yes_Insta_Mobile_Exact_New_LP-google,NC
9159,",Loans",New Delhi,Not Contactable-Ringing No Response,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
9160,",Trading Account",New Delhi,Not Contactable-Not reachable / Switched Off ,Savings Account-70 percent,mailer_publishername_70percent_SA-affiliate,NC
9161,",Credit Card,Loans,Current Account,Trading Account",Sangli,Customer Disconnected,Savings Account-70 percent,mailer_publishername_70percent_SA-affiliate,Customer Disconnected
9162,",Current Account",New Delhi,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
9163,,Noida,Not Contactable-Wrong Number / Number does not exist,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
9164,,Kolkata,Not Contactable-Ringing No Response,Savings Account customizable,mailer_optimidea_6percent_SA-affiliate,NC
9165,",Current Account",East Delhi,Not Contactable-Number temporary Not in Service ,Savings Account-70 percent,mailer_publishername_70percent_SA-affiliate,NC
9166,",Loans",New Delhi,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_Adsplay_6percent_SA-affiliate,NC
9167,",Trading Account",New Delhi,Not Contactable-Busy,Savings Account customizable,mailer_trackbackmedia_6percent_SA-affiliate,NC
9168,Saving Account,Jamshedpur,Not Contactable-Not reachable / Switched Off ,Savings Account-70 percent,mailer_publishername_70percent_SA-affiliate,NC
9169,",Credit Card,Current Account",Asansol,Customer Disconnected,Savings Account customizable,Search_PAN_India_Competition_Yes_Insta_Mobile_BMM_New_LP-google,Customer Disconnected
9170,",Current Account",Bangalore,Not Contactable-Not reachable / Switched Off ,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,NC
9171,",Loans",New Delhi,Customer Disconnected,Savings Account customizable,mailer_Apoxy_6percent_SA-affiliate,Customer Disconnected
9172,Saving Account,Pune,Not Contactable-Ringing No Response,Savings Account customizable,mailer_Adsplay_6percent_SA-affiliate,NC
9173,",Credit Card,Loans,Current Account",Chittaurgarh,Not Contactable-Ringing No Response,Savings Account customizable,PB_6pecent-aPB2,NC
9174,",Loans",Warangal,Customer Disconnected,Savings Account customizable,Search_PAN_India_Competition_Yes_Insta_Mobile_Exact_New_LP-google,Customer Disconnected
9175,",Credit Card,Current Account,Trading Account",Asansol,Customer Disconnected,Savings Account-70 percent,mailer_publishername_70percent_SA-affiliate,Customer Disconnected
9176,",Credit Card,Loans",Mumbai Suburban,Not Contactable-Number temporary Not in Service ,Savings Account customizable,mailer_trackbackmedia_6percent_SA-affiliate,NC
9177,",Trading Account",New Delhi,Customer Disconnected,Savings Account customizable,mailer_Adsplay_6percent_SA-affiliate,Customer Disconnected
